LabVIEW Measurement,
Writer_Version,2
Reader_Version,2
Separator,Comma
Decimal_Separator,.
Multi_Headings,No
X_Columns,One
Time_Pref,Absolute
Operator,User
Description,velocity data per time from LV chanel 1
Date,2024/08/09
Time,16:24:21.3766112327575683594
***End_of_Header***,
,
Channels,1,
Samples,680,
Date,2024/08/09,
Time,16:24:21.3766112327575683594,
X_Dimension,Time,
X0,0.0000000000000000E+0,
Delta_X,21.442647,
***End_of_Header***,,
X_Value,Untitled,Comment
0.000000,0.004614
21.442647,-0.003352
42.885294,0.003021
64.327941,0.011306
85.770588,-0.018329
107.213235,0.003977
128.655882,-0.003671
150.098529,0.019909
171.541176,0.000153
192.983824,-0.000803
214.426471,-0.000484
235.869118,-0.003671
257.311765,0.000790
278.754412,0.003977
300.197059,-0.006220
321.639706,0.010668
343.082353,-0.001122
364.525000,0.003339
385.967647,-0.000484
407.410294,0.006845
428.852941,0.002383
450.295588,0.000790
471.738235,0.007482
493.180882,0.006526
514.623529,0.002065
536.066176,-0.005264
557.508824,0.001109
578.951471,0.006526
600.394118,-0.002078
621.836765,0.004933
643.279412,-0.007813
664.722059,0.014811
686.164706,-0.002078
707.607353,-0.000166
729.050000,-0.006857
750.492647,0.007163
771.935294,-0.000166
793.377941,-0.002396
814.820588,-0.004946
836.263235,-0.003034
857.705882,-0.000803
879.148529,-0.003034
900.591176,0.003339
922.033824,-0.013868
943.476471,-0.001440
964.919118,-0.005264
986.361765,0.010031
1007.804412,-0.010681
1029.247059,0.003021
1050.689706,-0.006857
1072.132353,0.007163
1093.575000,-0.008132
1115.017647,-0.004946
1136.460294,0.000153
1157.902941,0.002702
1179.345588,-0.009725
1200.788235,-0.000803
1222.230882,0.002702
1243.673529,0.000153
1265.116176,-0.009725
1286.558824,-0.013231
1308.001471,0.002383
1329.444118,0.000153
1350.886765,0.008438
1372.329412,0.001428
1393.772059,0.007482
1415.214706,-0.003352
1436.657353,0.011624
1458.100000,0.000472
1479.542647,-0.002078
1500.985294,0.006845
1522.427941,0.005889
1543.870588,0.003658
1565.313235,0.001428
1586.755882,-0.009407
1608.198529,0.010031
1629.641176,-0.007176
1651.083824,0.001109
1672.526471,-0.005264
1693.969118,-0.021834
1715.411765,-0.000803
1736.854412,-0.000484
1758.297059,0.008438
1779.739706,0.008438
1801.182353,0.004933
1822.625000,0.003339
1844.067647,0.012580
1865.510294,0.005889
1886.952941,-0.003034
1908.395588,0.002702
1929.838235,0.016086
1951.280882,0.001746
1972.723529,0.000790
1994.166176,-0.005264
2015.608824,-0.001440
2037.051471,-0.002078
2058.494118,0.000790
2079.936765,0.004933
2101.379412,0.012899
2122.822059,0.000472
2144.264706,0.003339
2165.707353,0.002702
2187.150000,-0.006220
2208.592647,-0.001122
2230.035294,-0.002715
2251.477941,-0.001759
2272.920588,0.010350
2294.363235,-0.009088
2315.805882,0.006207
2337.248529,0.003339
2358.691176,0.000790
2380.133824,0.002702
2401.576471,0.001109
2423.019118,-0.001759
2444.461765,-0.016417
2465.904412,-0.006220
2487.347059,0.004933
2508.789706,0.002383
2530.232353,0.000153
2551.675000,0.003021
2573.117647,-0.001122
2594.560294,0.004295
2616.002941,0.004295
2637.445588,0.003021
2658.888235,-0.002715
2680.330882,0.009075
2701.773529,0.012899
2723.216176,-0.003990
2744.658824,-0.004627
2766.101471,0.009394
2787.544118,-0.000803
