LabVIEW Measurement,
Writer_Version,2
Reader_Version,2
Separator,Comma
Decimal_Separator,.
Multi_Headings,No
X_Columns,One
Time_Pref,Relative
Operator,User
Description,velocity data per time from LV chanel 1
Date,2024/08/09
Time,16:23:09.3578410148620605469
***End_of_Header***,
,
Channels,1,
Samples,519,
Date,2024/08/09,
Time,16:23:09.3578410148620605469,
X_Dimension,Time,
X0,0.0000000000000000E+0,
Delta_X,1.000000,
***End_of_Header***,,
X_Value,Untitled,Comment
0.000000,0.096705
1.000000,0.010350
2.000000,0.043171
3.000000,-0.040635
4.000000,-0.024065
5.000000,0.020547
6.000000,-0.001440
7.000000,-0.146427
8.000000,0.143865
9.000000,0.060378
10.000000,0.151832
11.000000,0.522425
12.000000,-0.146746
13.000000,0.010668
14.000000,-0.049238
15.000000,-0.437995
16.000000,-0.027570
17.000000,-0.008132
18.000000,0.104352
19.000000,-0.136231
20.000000,0.047632
21.000000,0.023733
22.000000,-0.050513
23.000000,-0.199005
24.000000,0.021503
25.000000,0.063565
26.000000,0.172544
27.000000,0.078542
28.000000,-0.059435
29.000000,-0.066764
30.000000,-0.477827
31.000000,-0.003352
32.000000,0.002065
33.000000,0.088101
34.000000,-0.164591
35.000000,-0.023746
36.000000,-0.048601
37.000000,-0.115837
38.000000,-0.047964
39.000000,-0.063259
40.000000,-0.082697
41.000000,-0.001759
42.000000,0.140042
43.000000,0.086508
44.000000,0.046039
45.000000,0.182741
46.000000,0.052731
47.000000,-0.017054
48.000000,0.059741
49.000000,-0.251583
50.000000,0.115824
51.000000,0.039666
52.000000,-0.068995
53.000000,0.208552
54.000000,0.019909
55.000000,0.016086
56.000000,0.097342
57.000000,0.134943
58.000000,-0.077598
59.000000,-0.038404
60.000000,0.140679
61.000000,0.061016
62.000000,-0.021834
63.000000,0.017042
64.000000,-0.118067
65.000000,0.091288
66.000000,0.023096
67.000000,0.119329
68.000000,-0.081741
69.000000,-0.159811
70.000000,-0.002396
71.000000,0.354495
72.000000,-0.092256
73.000000,0.070257
74.000000,0.010350
75.000000,-0.234057
76.000000,-0.012593
77.000000,-0.068995
78.000000,-0.152801
79.000000,-0.016417
80.000000,0.121878
81.000000,0.001109
82.000000,-0.295876
83.000000,0.104034
84.000000,-0.046052
85.000000,-0.080148
86.000000,0.069619
87.000000,-0.105640
88.000000,0.044127
89.000000,-0.115837
90.000000,0.557796
91.000000,-0.241067
92.000000,-0.000803
93.000000,0.206959
94.000000,-0.131451
95.000000,0.121560
96.000000,0.010668
97.000000,-0.011000
98.000000,0.076311
99.000000,-0.046370
100.000000,-0.084609
101.000000,-0.400075
102.000000,-0.152801
103.000000,-0.027570
104.000000,-0.135593
105.000000,0.129526
106.000000,0.126340
107.000000,0.056554
108.000000,0.060060
109.000000,-0.088114
110.000000,-0.021515
111.000000,-0.002715
112.000000,-0.250946
113.000000,0.091288
114.000000,0.033293
115.000000,-0.047008
116.000000,-0.424612
117.000000,0.108176
118.000000,0.014174
119.000000,-0.034262
120.000000,-0.000484
121.000000,0.018953
122.000000,-0.053699
123.000000,-0.229277
124.000000,-0.156306
125.000000,0.026282
126.000000,-0.031712
127.000000,-0.003034
128.000000,0.053368
129.000000,0.065158
130.000000,0.015448
131.000000,0.040303
132.000000,0.000472
133.000000,-0.053699
134.000000,0.278656
135.000000,-0.337301
136.000000,-0.063896
137.000000,-0.107233
